City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,island harbour,50.724,-1.2758,0.52,72,0,3.03,GB,1705632837
314,muromtsevo,56.3724,75.2418,-16.5,91,100,3.27,RU,1705632838
315,at taj,24.2049,23.2857,11.38,30,0,2.04,LY,1705632838
316,fayzabad,37.1166,70.58,2.36,43,100,2.99,AF,1705632839
317,cockburn town,21.4612,-71.1419,25.83,84,3,9.45,TC,1705632840
318,arteche,12.2645,125.4048,26.67,83,97,4.7,PH,1705632840
319,phongsali,21.6833,102.1058,16.54,54,52,0.38,LA,1705632841
320,luc-la-primaube,44.3144,2.5355,-0.64,93,100,4.63,FR,1705632842
321,lompoc,34.6391,-120.4579,14.32,84,0,2.57,US,1705632843
322,truckee,39.328,-120.1833,5.54,81,0,0.0,US,1705632786
323,prado,-17.3411,-39.2208,25.22,86,43,3.8,BR,1705632844
324,sarangani,5.4033,125.4636,27.52,78,63,9.75,PH,1705632845
325,watsa,3.0372,29.5355,17.34,44,90,0.44,CD,1705632846
326,springwood,-27.6118,153.129,34.25,64,49,2.24,AU,1705632847
327,amesbury,42.8584,-70.9301,-1.66,70,98,0.45,US,1705632847
328,natal,-5.795,-35.2094,27.12,78,20,3.09,BR,1705632620
329,sernancelhe,40.921,-7.5123,8.5,96,100,2.99,PT,1705632848
330,khorixas,-20.3667,14.9667,18.2,43,0,1.17,,1705632849
331,palembang,-2.9167,104.7458,27.05,83,40,4.63,ID,1705632850
332,sao joao da barra,-21.6403,-41.0511,24.39,89,87,7.17,BR,1705632851
333,tibagi,-24.5094,-50.4136,21.07,95,100,0.3,BR,1705632851
334,yoloten,37.2989,62.3597,5.6,68,100,2.81,TM,1705632852
335,sines,37.9562,-8.8698,14.05,84,100,3.58,PT,1705632852
336,nemuro,43.3236,145.575,-1.15,61,86,6.2,JP,1705632853
337,penzance,50.1186,-5.5371,-0.62,58,6,0.83,GB,1705632854
338,chaohu,31.6,117.8667,5.21,91,100,4.41,CN,1705632854
339,podborany,50.2294,13.4119,-2.77,94,100,2.09,CZ,1705632855
340,harper,4.375,-7.7169,26.13,83,9,2.21,LR,1705632856
341,paradip garh,20.3167,86.6167,21.63,79,90,5.63,IN,1705632856
342,sisimiut,66.9395,-53.6735,-14.56,94,21,4.21,GL,1705632857
343,poiares,40.2103,-8.2575,10.77,96,100,3.79,PT,1705632858
344,jarocin,51.9727,17.5026,-6.27,94,30,3.87,PL,1705632858
345,hadibu,12.65,54.0333,23.58,73,2,3.63,YE,1705632859
346,dalhart,36.0595,-102.5133,-1.99,74,0,8.75,US,1705632860
347,mykolayiv,46.9659,31.9974,6.49,95,100,5.0,UA,1705632860
348,esil,51.9556,66.4042,-18.74,100,94,2.05,KZ,1705632861
349,seme,15.1942,-12.9448,24.99,12,0,4.71,SN,1705632861
350,georgetown,5.4112,100.3354,30.53,72,20,4.12,MY,1705632862
351,saint-leu,-21.15,55.2833,23.48,81,100,1.24,RE,1705632864
352,carovigno,40.708,17.655,15.9,82,22,4.11,IT,1705632864
353,aasiaat,68.7098,-52.8699,-15.23,97,100,1.98,GL,1705632865
354,masina,-4.3836,15.3914,22.05,93,31,0.48,CD,1705632865
355,salalah,17.0151,54.0924,25.05,29,0,5.14,OM,1705632866
356,arkhangel'sk,64.5401,40.5433,-9.94,92,100,6.0,RU,1705632867
357,diu,20.7141,70.9822,20.02,48,0,4.11,IN,1705632868
358,taourirt,34.4073,-2.8973,16.2,46,100,2.58,MA,1705632868
359,nagqu,31.5,92.0,-11.47,34,5,2.14,CN,1705632869
360,rey bouba,8.6724,14.1786,18.5,16,0,0.2,CM,1705632870
